cn_name,en_name,rating,comment_number,director
末代皇帝,The Last Emperor,8.9,182011,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史"
重庆森林,重慶森林,8.7,350658,"导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
                            1994 / 香港 / 剧情 爱情"
禁闭岛,Shutter Island,8.6,381057,"导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚"
大鱼,Big Fish,8.7,266449,"导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003 / 美国 / 剧情 家庭 奇幻 冒险"
狩猎,Jagten,9.0,138433,"导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012 / 丹麦 瑞典 / 剧情"
布达佩斯大饭店,The Grand Budapest Hotel,8.8,333652,"导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧"
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,290739,"导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
                            1993 / 香港 / 喜剧 古装"
甜蜜蜜,Comrades: Almost a Love Story,8.8,243841,"导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
                            1996 / 香港 / 剧情 爱情"
致命ID,Identity,8.6,336877,"导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet
                            2003 / 美国 / 剧情 悬疑 惊悚"
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,8.7,275578,"导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险"
一一,Yi yi  /  Yi yi: A One and a Two,8.9,163949,"导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
                            2000 / 台湾 日本 / 剧情 爱情 家庭"
阳光姐妹淘,써니,8.8,283761,"导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
                            2011 / 韩国 / 剧情 喜剧"
断背山,Brokeback Mountain,8.6,337174,"导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭"
告白,自白  /  母亲,8.7,360363,"导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...
                            2010 / 日本 / 剧情 惊悚"
上帝之城,Cidade de Deus,8.9,164336,"导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...
                            2002 / 巴西 法国 / 犯罪 剧情"
猫鼠游戏,Catch Me If You Can,8.7,242190,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情"
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.6,364722,"导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
                            2003 / 美国 / 动作 冒险 奇幻"
摩登时代,Modern Times,9.2,94927,"导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 喜剧 剧情 爱情"
阿凡达,Avatar,8.6,553771,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 英国 / 动作 科幻 冒险"
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,8.9,156811,"导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...
                            2008 / 英国 美国 / 剧情 战争"
爱在黎明破晓前,Before Sunrise,8.7,232612,"导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情"
风之谷,風の谷のナウシカ,8.8,185008,"导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...
                            1984 / 日本 / 科幻 动画 奇幻 冒险"
消失的爱人,Gone Girl,8.7,375734,"导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...
                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚"
爱在日落黄昏时,Before Sunset,8.7,208274,"导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2004 / 美国 / 剧情 爱情"
侧耳倾听,耳をすませば,8.8,177600,"导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...
                            1995 / 日本 / 剧情 爱情 动画 音乐"
超脱,Detachment,8.8,181178,"导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
                            2011 / 美国 / 剧情"
倩女幽魂,倩女幽魂(87版)  /  A Chinese Ghost Story,8.6,267384,"导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...
                            1987 / 香港 / 剧情 爱情 武侠 古装"
红辣椒,パプリカ,8.9,142267,"导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...
                            2006 / 日本 / 动画 悬疑 科幻 惊悚"
萤火虫之墓,火垂るの墓,8.7,212678,"导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子
                            1988 / 日本 / 动画 剧情 战争"
